id,name,en_name,code,상세페이지 1차 완성,상세페이지 2차 완성
22053,카 데이 프라티 론케도네 로쏘,Ca dei Frati Ronchedone Rosso,29725,True,True
22054,옐로우 로즈 프리미엄 아메리칸 위스키 & 메이커스 마크 & 스카츠 그레이 하이볼 패키지,Yellow Rose Premium American Whiskey & Maker's Mark & Scots Grey Highball Package,29726,True,True
22055,더 글렌그란트 아보랄리스 & 파쏘아 & 스카츠 그레이 하이볼 패키지,The Glen Grant Arboralis & Passoa & Scots Grey Highball Package,29727,True,True
22056,메이커스 마크 & 네이키드 몰트 & 오켄토션 소비뇽 블랑,Maker's Mark & Naked Malt & Auchentoshan Sauvignon Blanc,29728,True,True
22057,옐로우 로즈 프리미엄 아메리칸 위스키 & 파쏘아 & 스카츠 그레이 하이볼 패키지,Yellow Rose Premium American Whiskey & Passoa & Scots Grey Highball Package,29729,True,True
22058,"그르기치 힐스, 나파 밸리 메를로 2019",Grgich Hills Estate Napa Valley Merlot 2019,29730,True,False
22059,그르기치 힐스 나파 밸리 샤르도네 2020,Grgich Hills Napa Valley Chardonnay 2020,29731,True,False
22060,쿠플라트 황동 소주잔 2개 선물 세트,Kupplat Brass Glass Set,29732,True,True
22061,마스미 미니 3종 패키지,Masumi Mini 3 Package,29733,True,True
22062,파 니엔테 까베르네 소비뇽 2021,Far Niente Cabernet Sauvignon 2021,29734,True,False
22063,"파 니엔테, 샤르도네 2022","Far Niente, Chardonnay 2022",29735,True,False
22064,샤또 라퐁 로쉐 2019,Chateau Lafon Rochet 2019,29736,True,False
22065,올리비에 귀요 마르사네 블랑 라 몽타뉴,Olivier Guyot Marsannay Blanc La Montagne,29737,True,False
22066,사워보쉐,Sour Bochet,29738,True,True
22067,트리니테 에스테이트 아카이보 2016,Trinite Estate Acaibo 2016,29739,True,False
22068,트림바크 피노 그리 셀렉시옹 드 그랭 노블 2000,Trimbach Pinot Gris Selection de Grains Nobles 2000,29740,True,False
22069,트림바크 피노 그리 셀렉시옹 드 그랭 노블 2005,Trimbach Pinot Gris Selection de Grains Nobles 2005,29741,False,True
22070,도멘 드 라 자나스 샤또네프 뒤 파프 2015,Domaine de la Janasse Chateauneuf du Pape 2015,29742,True,False
22071,페트롤로 갈라트로나 2021,Petrolo Galatrona 2021,29743,True,False
22073,도멘 뱅상 도비사 샤블리 2015,Domaine Vincent Dauvissat Chablis 2015,29744,True,False
22075,샤또 피숑 롱그빌 바롱 2002,Chateau Pichon Longueville Baron 2002,29745,True,False
22076,샤또 피숑 롱그빌 바롱 2012,Chateau Pichon Longueville Baron 2012,29746,True,False
22077,"시로 파첸티, 브루넬로 디 몬탈치노 베키에 비녜 2016",Siro Pacenti Vecchie Vigne Brunello di Montalcino(BDM) 2016,29747,True,False
22079,도멘 브루노 끌레어 샹볼 뮈지니 레 베로아 2020,Domaine Bruno Clair Chambolle Musigny Les Veroilles 2020,29748,True,False
22082,도멘 브루노 끌레어 쥬브레 샹베르땡 2020,Domaine Bruno Clair Gevrey Chambertin Village 2020,29749,True,False
22083,도멘 니콜라 로시뇰 볼네 2019,Domaine Nicolas Rossignol Volnay 2019,29750,True,False
22084,무작 53 350ml,Mujak 53 350ml,29751,True,False
22085,루나리아 몬테풀치아노 리제르바,Lunaria Montepulciano Reserva,29752,True,False
22086,루나리아 페코리노,Lunaria Pecorino,29753,True,False
22087,루나리아 프리미티보,Lunaria Primitivo,29754,True,False
22088,루나리아 피노 그리지오,Lunaria Pinot Grigio,29755,True,False
22089,카넬라 벨리니 제로,Canella Bellini Zero,29756,True,False
22090,잇츠 체치 스타일,It's Ceci Style,29757,True,False
22091,"자카니니, 몬테풀치아노 달 트랄체토 찰스 심코비츠 에디션","Zaccagnini, Montepulciano Dal Tralcetto Charles Szymkowicz Edition",29758,True,False
22092,"칸티나 자카니니, 몬테풀치아노 다브루쪼 375ml","Cantina Zaccagnini, Montepulciano d'Abruzzo 375ml",29759,True,False
22093,"칸티나 자카니니, 일 비앙코 디 치쵸 375ml","Cantina Zaccagnini, Il Bianco di Ciccio 375ml",29760,True,False
22094,펫낫 와일드 샤르도네,Petnat Wild Chardonnay,29761,True,False
22095,그라브 샤또 부르디요,"Graves, Château Le Bourdillot",29762,True,False
